id,name,type,water,min_tank,temp_min,temp_max,ph_min,ph_max,gh_min,gh_max,kh_min,kh_max,school,bioload,difficulty,img,photo,color,description,popular
214,Six Line Wrasse,fish,saltwater,20,72,80,8.1,8.4,8,12,8,12,1,2.0,beginner,🐟,,#00e5ff,Six horizontal purple and orange lines. Active pest controller.,true
215,Fairy Wrasse (Carpenter's),fish,saltwater,30,72,80,8.1,8.4,8,12,8,12,1,3.0,intermediate,🐟,,#00e5ff,Spectacular multicolored display during flashing. Peaceful reef fish.,false
216,Melanurus Wrasse,fish,saltwater,30,72,80,8.1,8.4,8,12,8,12,1,3.0,beginner,🐟,,#00e5ff,"Colorful pest eater. Consumes flatworms, bristleworms, and pyramidellid snails.",false
217,Yellow Coris Wrasse,fish,saltwater,30,72,80,8.1,8.4,8,12,8,12,1,3.0,beginner,🐟,,#00e5ff,Bright yellow with a fun swimming style. Buries in sand at night.,false
218,Flame Angelfish,fish,saltwater,30,72,80,8.1,8.4,8,12,8,12,1,3.0,intermediate,🐟,,#00e5ff,Fiery red-orange with black bars. May nip at corals — reef safe with caution.,true
219,Coral Beauty Angelfish,fish,saltwater,30,72,80,8.1,8.4,8,12,8,12,1,3.0,intermediate,🐟,,#00e5ff,Deep purple and orange. One of the most popular dwarf angels.,false
220,Lemonpeel Angelfish,fish,saltwater,30,72,80,8.1,8.4,8,12,8,12,1,3.0,intermediate,🐟,,#00e5ff,Bright lemon yellow with blue eye ring. May nip corals.,false
221,Bicolor Blenny,fish,saltwater,20,72,80,8.1,8.4,8,12,8,12,1,2.0,beginner,🐟,,#00e5ff,"Half purple, half orange. Perches on rocks with comical expressions.",false
222,Midas Blenny,fish,saltwater,20,72,80,8.1,8.4,8,12,8,12,1,2.0,beginner,🐟,,#00e5ff,Golden yellow eel-shaped blenny. Hovers above rockwork with personality.,true
223,Tailspot Blenny,fish,saltwater,10,72,80,8.1,8.4,8,12,8,12,1,1.0,beginner,🐟,,#00e5ff,Tiny algae-eating blenny with a distinctive tail spot. Perfect for nano reefs.,false
224,Bangaii Cardinalfish,fish,saltwater,10,72,80,8.1,8.4,8,12,8,12,2,1.0,beginner,🐟,,#00e5ff,Striking black and silver with elongated fins. Mouthbrooding paternal care.,true
225,Pajama Cardinalfish,fish,saltwater,10,72,80,8.1,8.4,8,12,8,12,3,1.0,beginner,🐟,,#00e5ff,"Polka dots, stripes, and big eyes. Looks like it's wearing pajamas.",false
226,Chromis (Blue-Green),fish,saltwater,20,72,80,8.1,8.4,8,12,8,12,5,2.0,beginner,🐟,,#00e5ff,Peaceful schooling damsel. Iridescent blue-green shimmer in groups.,true
227,Yellowtail Damsel,fish,saltwater,20,72,80,8.1,8.4,8,12,8,12,1,2.0,beginner,🐟,,#00e5ff,Electric blue body with yellow tail. Hardy but can become territorial.,false
228,Flame Hawkfish,fish,saltwater,20,72,80,8.1,8.4,8,12,8,12,1,2.0,beginner,🐟,,#00e5ff,Brilliant red with black markings around eyes. Perches on corals and watches.,false
229,Longnose Hawkfish,fish,saltwater,30,72,80,8.1,8.4,8,12,8,12,1,3.0,intermediate,🐟,,#00e5ff,Checkered red and white with elongated snout. Charismatic percher.,false
230,Foxface Rabbitfish,fish,saltwater,55,72,80,8.1,8.4,8,12,8,12,1,5.0,intermediate,🐟,,#00e5ff,Yellow body with black and white fox-like face. Venomous spines. Great algae eater.,false
231,Copperband Butterflyfish,fish,saltwater,55,72,80,8.1,8.4,8,12,8,12,1,5.0,advanced,🐟,,#00e5ff,Elegant vertical copper bands with long snout. Eats aiptasia anemones.,false
232,Dottyback (Orchid),fish,saltwater,20,72,80,8.1,8.4,8,12,8,12,1,2.0,beginner,🐟,,#00e5ff,Vivid purple. Captive bred varieties are much less aggressive than wild.,false
233,Neon Goby,fish,saltwater,10,72,80,8.1,8.4,8,12,8,12,2,1.0,beginner,🐟,,#00e5ff,Tiny neon blue-striped goby. Cleans parasites from larger fish.,false
234,Engineer Goby,fish,saltwater,30,72,80,8.1,8.4,8,12,8,12,3,3.0,beginner,🐟,,#00e5ff,Black and white striped burrower. Creates elaborate tunnel systems.,false
235,Lawnmower Blenny,fish,saltwater,30,72,80,8.1,8.4,8,12,8,12,1,3.0,beginner,🐟,,#00e5ff,Constantly grazes algae off rocks. Comical face and entertaining behavior.,true
300,Amano Shrimp,invertebrate,freshwater,5,70,80,6.5,7.5,6,15,3,8,3,0.5,beginner,🦐,,#69f0ae,Champion algae eaters. Transparent with distinctive dots along the body.,true
301,Cherry Shrimp,invertebrate,freshwater,5,65,80,6.2,8,4,8,3,8,6,0.5,beginner,🦐,,#69f0ae,Brilliant red neocaridina. Breed readily and create living jewels in your tank.,true
302,Blue Dream Shrimp,invertebrate,freshwater,5,65,80,6.2,8,4,8,3,8,6,0.5,beginner,🦐,,#69f0ae,Deep blue neocaridina variety. Just as hardy as cherry shrimp.,true
303,Orange Sakura Shrimp,invertebrate,freshwater,5,65,80,6.2,8,4,8,3,8,6,0.5,beginner,🦐,,#69f0ae,Vivid orange neocaridina. Great contrast against green plants.,false
304,Yellow Shrimp,invertebrate,freshwater,5,65,80,6.2,8,4,8,3,8,6,0.5,beginner,🦐,,#69f0ae,Bright yellow neocaridina. Cheerful and easy to breed.,false
305,Crystal Red Shrimp,invertebrate,freshwater,5,68,76,5.5,6.8,3,6,0,2,6,0.5,advanced,🦐,,#69f0ae,Red and white banded caridina. Requires very specific soft acidic water.,true
306,Crystal Black Shrimp,invertebrate,freshwater,5,68,76,5.5,6.8,3,6,0,2,6,0.5,advanced,🦐,,#69f0ae,Black and white version of crystal red. Same demanding water requirements.,false
307,Taiwan Bee Shrimp,invertebrate,freshwater,5,68,76,5.5,6.8,3,6,0,2,6,0.5,advanced,🦐,,#69f0ae,"Premium shrimp varieties including King Kong, Panda, and Red Wine.",false
308,Bamboo Shrimp,invertebrate,freshwater,15,72,80,6.5,7.5,3,10,2,6,2,0.5,intermediate,🦐,,#69f0ae,Filter feeding shrimp with fan-like hands. Sits in current catching food particles.,true
309,Vampire Shrimp,invertebrate,freshwater,20,74,84,6.5,7.5,4,12,2,8,2,0.5,intermediate,🦐,,#69f0ae,Large blue-gray filter feeder. Impressive armored appearance.,false
310,Ghost Shrimp,invertebrate,freshwater,5,65,80,7,8,5,15,3,10,4,0.5,beginner,🦐,,#69f0ae,Nearly transparent and very affordable. Great cleanup crew on a budget.,false
311,Whisker Shrimp,invertebrate,freshwater,10,72,82,6.5,8,4,15,3,10,3,0.5,beginner,🦐,,#69f0ae,Larger than ghost shrimp with prominent whiskers. Can be slightly aggressive.,false
312,Nerite Snail,invertebrate,freshwater,5,72,78,7,8.5,5,15,5,12,1,0.5,beginner,🦐,,#69f0ae,Tireless algae eaters with beautiful shell patterns. Won't breed in freshwater.,true
313,Mystery Snail,invertebrate,freshwater,5,68,82,7,8,5,15,5,12,1,0.5,beginner,🦐,,#69f0ae,"Colorful and entertaining to watch. Available in gold, blue, ivory, and more.",true
314,Rabbit Snail,invertebrate,freshwater,15,76,84,7.5,8.5,6,15,5,12,1,0.5,beginner,🦐,,#69f0ae,Elongated snail from Sulawesi with a rabbit-like face. Slow and peaceful.,false
315,Assassin Snail,invertebrate,freshwater,5,72,82,6.5,7.5,5,15,2,10,2,0.5,beginner,🦐,,#69f0ae,Hunts and eats pest snails. A biological control for snail infestations.,true
316,Japanese Trapdoor Snail,invertebrate,freshwater,10,60,80,6.5,8,5,18,3,12,1,0.5,beginner,🦐,,#69f0ae,Hardy livebearing snail. Good algae eater that won't overpopulate.,false
317,Ramshorn Snail,invertebrate,freshwater,5,65,80,6.5,8,4,15,3,10,2,0.5,beginner,🦐,,#69f0ae,"Flat spiral shell in pink, blue, or red. Prolific breeders and good cleaners.",false
318,Malaysian Trumpet Snail,invertebrate,freshwater,5,65,82,6.5,8,5,18,3,12,3,0.5,beginner,🦐,,#69f0ae,Burrows in substrate keeping it aerated. Mostly nocturnal. Breeds readily.,false
319,Mexican Dwarf Crayfish (CPO),invertebrate,freshwater,5,65,80,6.5,8,6,15,3,10,1,0.5,beginner,🦐,,#69f0ae,Tiny bright orange crayfish. Generally safe with most fish unlike larger crayfish.,true
320,Blue Crayfish (Procambarus alleni),invertebrate,freshwater,20,65,80,6.5,8,6,20,3,12,1,0.5,beginner,🦐,,#69f0ae,Electric blue freshwater lobster. Will eat plants and slow fish.,false
321,Thai Micro Crab,invertebrate,freshwater,5,72,82,6.5,7.5,3,10,2,8,3,0.5,intermediate,🦐,,#69f0ae,Tiny fully aquatic crabs smaller than a dime. Delicate filter feeders.,false
322,Freshwater Clam,invertebrate,freshwater,10,65,80,6.5,8,5,15,3,10,1,0.5,intermediate,🦐,,#69f0ae,Filter feeds water keeping it crystal clear. Needs established tank with food particles.,false
400,Cleaner Shrimp (Skunk),invertebrate,saltwater,20,72,80,8,8.4,8,12,8,12,1,0.5,beginner,🦐,,#69f0ae,Sets up cleaning stations for fish. Charismatic and useful reef inhabitant.,true
401,Fire Shrimp,invertebrate,saltwater,20,72,80,8,8.4,8,12,8,12,1,0.5,beginner,🦐,,#69f0ae,Blood red body with white spots and antennae. Stunning and functional.,true
402,Peppermint Shrimp,invertebrate,saltwater,10,72,80,8,8.4,8,12,8,12,2,0.5,beginner,🦐,,#69f0ae,Red and white striped. Eats pest aiptasia anemones.,true
403,Coral Banded Shrimp,invertebrate,saltwater,20,72,80,8,8.4,8,12,8,12,1,0.5,beginner,🦐,,#69f0ae,Red and white banded with long white antennae. Can catch small fish.,false
404,Sexy Shrimp,invertebrate,saltwater,5,72,80,8,8.4,8,12,8,12,3,0.5,beginner,🦐,,#69f0ae,Tiny shrimp that sways its tail seductively. Lives on anemones.,false
405,Harlequin Shrimp,invertebrate,saltwater,10,72,80,8,8.4,8,12,8,12,2,0.5,intermediate,🦐,,#69f0ae,Spectacular purple and white. Feeds exclusively on starfish.,false
406,Pistol Shrimp (Randall's),invertebrate,saltwater,10,72,80,8,8.4,8,12,8,12,1,0.5,beginner,🦐,,#69f0ae,Partners with watchman gobies. Creates burrows and produces snapping sounds.,true
407,Emerald Crab,invertebrate,saltwater,20,72,80,8,8.4,8,12,8,12,1,0.5,beginner,🦐,,#69f0ae,Brilliant green. Consumes bubble algae that other creatures won't touch.,true
408,Blue Leg Hermit Crab,invertebrate,saltwater,5,72,80,8,8.4,8,12,8,12,5,0.5,beginner,🦐,,#69f0ae,Tiny algae-eating hermit. Essential cleanup crew member for reef tanks.,true
409,Scarlet Reef Hermit,invertebrate,saltwater,5,72,80,8,8.4,8,12,8,12,3,0.5,beginner,🦐,,#69f0ae,Bright red legs. Peaceful herbivore that won't bother tankmates.,false
410,Halloween Hermit Crab,invertebrate,saltwater,5,72,80,8,8.4,8,12,8,12,2,0.5,beginner,🦐,,#69f0ae,Orange and black legs like Halloween colors. Larger but generally peaceful.,false
411,Turbo Snail,invertebrate,saltwater,10,72,80,8,8.4,8,12,8,12,2,0.5,beginner,🦐,,#69f0ae,Powerhouse algae eaters. Can knock over loose corals with their bulk.,true
412,Astrea Snail,invertebrate,saltwater,5,72,80,8,8.4,8,12,8,12,3,0.5,beginner,🦐,,#69f0ae,Efficient algae grazers. Can't right themselves if flipped — check on them.,true
413,Nassarius Snail,invertebrate,saltwater,5,72,80,8,8.4,8,12,8,12,3,0.5,beginner,🦐,,#69f0ae,Sand-sifting scavenger that burrows and pops up when food is detected.,true
414,Cerith Snail,invertebrate,saltwater,5,72,80,8,8.4,8,12,8,12,5,0.5,beginner,🦐,,#69f0ae,Elongated spiral shell. Excellent detritus and algae eater. Works at night.,false
415,Trochus Snail,invertebrate,saltwater,5,72,80,8,8.4,8,12,8,12,3,0.5,beginner,🦐,,#69f0ae,Can right itself unlike astrea. Hardy and effective algae grazer.,false
416,Fighting Conch,invertebrate,saltwater,20,72,80,8,8.4,8,12,8,12,1,0.5,beginner,🦐,,#69f0ae,Sand-sifting conch with beautiful shell. Keeps sandbed clean.,false
417,Tuxedo Urchin,invertebrate,saltwater,20,72,80,8,8.4,8,12,8,12,1,0.5,beginner,🦐,,#69f0ae,Red and black banded urchin. Decorates itself with shells and debris. Great algae eater.,true
418,Pencil Urchin,invertebrate,saltwater,20,72,80,8,8.4,8,12,8,12,1,0.5,beginner,🦐,,#69f0ae,Thick blunt spines. Hardy urchin but may munch on some corals.,false
419,Sand Sifting Starfish,invertebrate,saltwater,30,72,80,8,8.4,8,12,8,12,1,0.5,intermediate,🦐,,#69f0ae,Processes sand for food. Can deplete sandbed fauna in small tanks.,false
420,Serpent Starfish,invertebrate,saltwater,20,72,80,8,8.4,8,12,8,12,1,0.5,beginner,🦐,,#69f0ae,Long flexible arms that reach from crevices to grab food. Excellent scavenger.,false
421,Porcelain Crab,invertebrate,saltwater,10,72,80,8,8.4,8,12,8,12,1,0.5,beginner,🦐,,#69f0ae,Flat filter-feeding crab that lives in anemones alongside clownfish.,false
422,Arrow Crab,invertebrate,saltwater,20,72,80,8,8.4,8,12,8,12,1,0.5,intermediate,🦐,,#69f0ae,Long spindly legs and pointed nose. Eats bristleworms but may grab small fish.,false
423,Feather Duster Worm,invertebrate,saltwater,10,72,80,8,8.4,8,12,8,12,1,0.5,beginner,🦐,,#69f0ae,Beautiful fan-shaped crown extends from a tube to filter feed. Retracts when startled.,true
424,Maxima Clam,invertebrate,saltwater,20,74,80,8.1,8.4,8,12,8,12,1,0.5,advanced,🦐,,#69f0ae,Brilliant electric blue and green mantles. Requires intense lighting.,true
425,Derasa Clam,invertebrate,saltwater,30,74,80,8.1,8.4,8,12,8,12,1,0.5,intermediate,🦐,,#69f0ae,Largest and hardiest of the giant clams for aquariums. Less light demanding.,false
500,Zoanthids,coral,saltwater,10,75,80,8,8.4,8,12,8,12,1,1.0,beginner,🪸,,#ff6b9d,Kaleidoscopic colors. The gateway coral — hardy and comes in infinite morphs.,true
501,Mushroom Coral (Discosoma),coral,saltwater,10,75,80,8,8.4,8,12,7,11,1,1.0,beginner,🪸,,#ff6b9d,Soft flowing discs in vivid colors. Nearly indestructible for a coral.,true
502,Rhodactis Mushroom,coral,saltwater,10,75,80,8,8.4,8,12,7,11,1,1.0,beginner,🪸,,#ff6b9d,Hairy/bumpy mushroom variety. Can grow very large. Many color morphs.,false
503,Ricordea Florida,coral,saltwater,10,75,80,8,8.4,8,12,7,11,1,1.0,beginner,🪸,,#ff6b9d,"Bubble-like tentacles in orange, green, blue. Premium collector coral.",true
504,Ricordea Yuma,coral,saltwater,10,75,80,8,8.4,8,12,7,11,1,1.0,intermediate,🪸,,#ff6b9d,More demanding than Florida ricordea. Extraordinary color combinations.,false
505,Green Star Polyps (GSP),coral,saltwater,10,75,80,8,8.4,8,12,8,12,1,1.0,beginner,🪸,,#ff6b9d,Bright green flowing polyps on purple mat. Grows fast — can be invasive.,true
506,Xenia (Pulsing),coral,saltwater,10,75,80,8,8.4,8,12,8,12,1,1.0,beginner,🪸,,#ff6b9d,Hypnotic pulsing motion. Grows rapidly and pulses to exchange gases.,true
507,Kenya Tree Coral,coral,saltwater,10,75,80,8,8.4,8,12,8,12,1,1.0,beginner,🪸,,#ff6b9d,Tree-shaped soft coral that drops branches to propagate. Nearly unkillable.,true
508,Toadstool Leather Coral,coral,saltwater,20,75,80,8,8.4,8,12,8,12,1,2.0,beginner,🪸,,#ff6b9d,Mushroom-shaped with flowing polyps. Periodically sheds a waxy coating.,true
509,Devil's Hand Leather,coral,saltwater,20,75,80,8,8.4,8,12,8,12,1,2.0,beginner,🪸,,#ff6b9d,Finger-like lobes with tiny polyps. Very hardy and grows large.,false
510,Finger Leather Coral,coral,saltwater,20,75,80,8,8.4,8,12,8,12,1,2.0,beginner,🪸,,#ff6b9d,Branching finger-like projections. Hardy and adds great texture.,false
511,Cabbage Leather Coral,coral,saltwater,20,75,80,8,8.4,8,12,8,12,1,2.0,beginner,🪸,,#ff6b9d,Ruffled edges like a head of cabbage. Dramatic size and presence.,false
512,Clove Polyps,coral,saltwater,10,75,80,8,8.4,8,12,8,12,1,1.0,beginner,🪸,,#ff6b9d,"Delicate eight-tentacled polyps in brown, white, or green. Spreads moderately.",false
513,Anthelia,coral,saltwater,10,75,80,8,8.4,8,12,8,12,1,1.0,beginner,🪸,,#ff6b9d,Waving hand-like polyps. Some varieties pulse like xenia. Easy grower.,false
514,Blue Clove Polyps,coral,saltwater,10,75,80,8,8.4,8,12,8,12,1,1.0,beginner,🪸,,#ff6b9d,Metallic blue polyps that spread across rockwork. Stunning under blue LEDs.,false
520,Hammer Coral (Euphyllia),coral,saltwater,30,75,80,8,8.4,8,12,8,12,1,3.0,intermediate,🪸,,#ff6b9d,Flowing tentacles with hammer-shaped tips. Mesmerizing movement under flow.,true
521,Torch Coral (Euphyllia),coral,saltwater,30,75,80,8,8.4,8,12,8,12,1,3.0,intermediate,🪸,,#ff6b9d,Long flowing tentacles. Clownfish sometimes host in these as anemone substitutes.,true
522,Frogspawn Coral (Euphyllia),coral,saltwater,30,75,80,8,8.4,8,12,8,12,1,3.0,intermediate,🪸,,#ff6b9d,Bubble-tipped tentacles resembling frog eggs. Beautiful in large colonies.,true
523,Duncan Coral,coral,saltwater,20,75,80,8,8.4,8,12,8,12,1,2.0,beginner,🪸,,#ff6b9d,Round polyps on branching stalks. Fast growing and very forgiving LPS.,true
524,Candy Cane Coral,coral,saltwater,20,75,80,8,8.4,8,12,8,12,1,2.0,beginner,🪸,,#ff6b9d,Trumpet-shaped polyps in pastel colors. Great beginner LPS coral.,true
525,Acan Lord (Micromussa),coral,saltwater,10,75,80,8,8.4,8,12,8,12,1,1.0,intermediate,🪸,,#ff6b9d,Fleshy circular polyps in rainbow colors. Highly collectible morphs.,true
526,Brain Coral (Favia/Favites),coral,saltwater,20,75,80,8,8.4,8,12,8,12,1,2.0,intermediate,🪸,,#ff6b9d,Boulder-shaped with maze-like pattern. Extends sweeper tentacles at night.,false
527,Blastomussa,coral,saltwater,10,75,80,8,8.4,8,12,8,12,1,1.0,beginner,🪸,,#ff6b9d,Fleshy polyps in reds and greens. Low light tolerant and very easy LPS.,false
528,Goniopora (Flowerpot),coral,saltwater,20,75,80,8,8.4,8,12,8,12,1,2.0,advanced,🪸,,#ff6b9d,Beautiful daisy-like polyps. Historically difficult but captive varieties improving.,false
529,Bubble Coral,coral,saltwater,20,75,80,8,8.4,8,12,8,12,1,2.0,intermediate,🪸,,#ff6b9d,Inflates grape-like bubbles during the day. Deflates at night to feed.,false
530,Plate Coral (Fungia),coral,saltwater,20,75,80,8,8.4,8,12,8,12,1,2.0,intermediate,🪸,,#ff6b9d,Free-living coral that sits on sand. Can actually move slowly across substrate.,false
531,Elegance Coral,coral,saltwater,30,75,80,8,8.4,8,12,8,12,1,3.0,advanced,🪸,,#ff6b9d,Magnificent flowing tentacles with colored tips. Demanding but breathtaking.,false
532,Lobo Brain Coral,coral,saltwater,20,75,80,8,8.4,8,12,8,12,1,2.0,beginner,🪸,,#ff6b9d,Smooth fleshy brain coral. Hardy and comes in many color combinations.,false
533,Chalice Coral,coral,saltwater,10,75,80,8,8.4,8,12,8,12,1,1.0,intermediate,🪸,,#ff6b9d,Encrusting plates with incredible eye patterns. Highly sought-after morphs.,true
534,War Coral (Favites),coral,saltwater,20,75,80,8,8.4,8,12,8,12,1,2.0,intermediate,🪸,,#ff6b9d,Named for aggressive sweeper tentacles at night. Beautiful honeycomb pattern.,false
535,Scoly (Scolymia),coral,saltwater,10,75,80,8,8.4,8,12,8,12,1,1.0,intermediate,🪸,,#ff6b9d,Single large polyp in stunning rainbow colors. Premium collector coral.,true
536,Wellsophyllia,coral,saltwater,20,75,80,8,8.4,8,12,8,12,1,2.0,intermediate,🪸,,#ff6b9d,Folded brain-like appearance in greens and reds. Dramatic under blue lights.,false
540,Acropora,coral,saltwater,50,76,80,8.1,8.4,8,12,9,12,1,5.0,advanced,🪸,,#ff6b9d,The pinnacle of reef keeping. Stunning branching structures demanding pristine water.,true
541,Montipora (Plating),coral,saltwater,20,75,80,8,8.4,8,12,8,12,1,2.0,intermediate,🪸,,#ff6b9d,Plating growth form in vivid colors. Easier SPS — great stepping stone to acropora.,true
542,Montipora (Digitata),coral,saltwater,20,75,80,8,8.4,8,12,8,12,1,2.0,intermediate,🪸,,#ff6b9d,Finger-like branching montipora. Fast growing and colorful.,false
543,Birdsnest Coral (Seriatopora),coral,saltwater,20,75,80,8,8.4,8,12,8,12,1,2.0,intermediate,🪸,,#ff6b9d,"Fine delicate branches in pink, green, or blue. One of the easiest SPS.",true
544,Pocillopora,coral,saltwater,20,75,80,8,8.4,8,12,8,12,1,2.0,intermediate,🪸,,#ff6b9d,Cauliflower-like growth. Very fast growing SPS. Good beginner SPS.,false
545,Stylophora,coral,saltwater,20,75,80,8,8.4,8,12,8,12,1,2.0,intermediate,🪸,,#ff6b9d,Smooth branching coral in bright pinks and greens. Moderately easy SPS.,false
546,Pavona,coral,saltwater,20,75,80,8,8.4,8,12,8,12,1,2.0,intermediate,🪸,,#ff6b9d,Lettuce-like encrusting coral. Grows under a wide range of conditions.,false
547,Oregon Tort Acropora,coral,saltwater,50,76,80,8.1,8.4,8,12,9,12,1,5.0,advanced,🪸,,#ff6b9d,Famous vivid blue acropora. One of the most sought-after SPS morphs.,false
548,Walt Disney Acropora,coral,saltwater,50,76,80,8.1,8.4,8,12,9,12,1,5.0,advanced,🪸,,#ff6b9d,"Multicolored showpiece with blue base, purple branches, and green polyps.",false
560,Bubble Tip Anemone,coral,saltwater,30,75,80,8,8.4,8,12,8,12,1,3.0,intermediate,🪸,,#ff6b9d,"Most popular host anemone for clownfish. Comes in green, rose, and rainbow.",true
561,Rock Flower Anemone,coral,saltwater,10,72,80,8,8.4,8,12,8,12,1,1.0,beginner,🪸,,#ff6b9d,Colorful Caribbean anemone. Stays put and doesn't wander like other nems.,true
562,Magnificent Anemone,coral,saltwater,75,75,80,8.1,8.4,8,12,8,12,1,8.0,advanced,🪸,,#ff6b9d,Massive and stunning but demanding. The preferred host for ocellaris clownfish.,false
563,Long Tentacle Anemone,coral,saltwater,30,75,80,8,8.4,8,12,8,12,1,3.0,intermediate,🪸,,#ff6b9d,Graceful flowing tentacles rooted in sand. Can wander and sting corals.,false
600,African Dwarf Frog,amphibian,freshwater,5,72,82,6.5,7.8,5,15,2,8,2,1.0,beginner,🐸,,#a5d6a7,Fully aquatic and full of charm. Loves to float at the surface with arms spread.,true
601,Axolotl,amphibian,freshwater,20,60,68,6.5,8,7,14,3,8,1,2.0,intermediate,🐸,,#a5d6a7,The smiling salamander. Needs cold water and gentle flow. Utterly unique.,true
602,Fire Belly Newt,amphibian,freshwater,10,62,72,6.5,7.5,6,12,3,8,2,1.0,intermediate,🐸,,#a5d6a7,Vivid orange belly warns predators. Semi-aquatic — needs land area access.,true
603,Paddle Tail Newt,amphibian,freshwater,15,65,75,6.5,7.5,5,12,3,8,2,2.0,intermediate,🐸,,#a5d6a7,Fully aquatic newt with a paddle-shaped tail for swimming. Nocturnal.,false
604,Eastern Newt,amphibian,freshwater,10,58,72,6,7.5,5,15,3,10,2,1.0,intermediate,🐸,,#a5d6a7,Olive green aquatic adult stage. Goes through a bright orange eft land phase.,false
605,African Clawed Frog,amphibian,freshwater,10,68,77,6.5,8,5,18,3,12,1,1.0,beginner,🐸,,#a5d6a7,Larger cousin of dwarf frogs. Fully aquatic but will eat anything that fits in its mouth.,true
606,Spanish Ribbed Newt,amphibian,freshwater,20,60,72,6.5,7.5,5,15,3,10,2,2.0,intermediate,🐸,,#a5d6a7,Can push its ribs through its skin as a defense. Hardy and long-lived.,false
607,Alpine Newt,amphibian,freshwater,10,55,68,6,7.5,5,15,3,10,2,1.0,intermediate,🐸,,#a5d6a7,Stunning blue and orange breeding colors. Needs cool temperatures.,false
608,Surinam Toad,amphibian,freshwater,15,72,82,6,7.5,3,12,2,8,1,2.0,intermediate,🐸,,#a5d6a7,Bizarre flat toad. Babies develop in pockets on mother's back. Fully aquatic.,false
609,Japanese Fire Belly Newt,amphibian,freshwater,10,60,72,6.5,7.5,5,12,3,8,2,1.0,intermediate,🐸,,#a5d6a7,Bright red belly with dark top. Hardy and long-lived — can exceed 25 years.,false
610,Mexican Axolotl (Wild Type),amphibian,freshwater,20,58,68,6.5,8,7,14,3,8,1,2.0,intermediate,🐸,,#a5d6a7,Dark wild-type coloration. Critically endangered in the wild.,false
611,Axolotl (Leucistic),amphibian,freshwater,20,60,68,6.5,8,7,14,3,8,1,2.0,intermediate,🐸,,#a5d6a7,White/pink body with dark eyes. The most popular axolotl morph.,true
612,Axolotl (GFP/Green Fluorescent),amphibian,freshwater,20,60,68,6.5,8,7,14,3,8,1,2.0,intermediate,🐸,,#a5d6a7,Glows green under blue/UV light. A unique and eye-catching morph.,false
